date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:55	101/101	---M-Z	200	added ('OK')	text/plain	etag:%2260-5adf0c338bc80-gzip%22	http://schemas.opengis.net/robots.txt		(from )
16:16:55	3231/3231	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:46:56%20GMT	http://schemas.opengis.net/sensorML/	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/index.html	(from )
16:16:56	148/148	---M--	200	added ('OK')	image/gif	etag:%2294-3e9564c23b600%22	http://schemas.opengis.net/icons/blank.gif	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/icons/blank.gif	(from http://schemas.opengis.net/sensorML/)
16:16:56	216/216	---M--	200	added ('OK')	image/gif	etag:%22d8-3e9564c23b600%22	http://schemas.opengis.net/icons/back.gif	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/icons/back.gif	(from http://schemas.opengis.net/sensorML/)
16:16:57	3231/3231	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:46:57%20GMT	http://schemas.opengis.net/sensorML/?C=N;O=D	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/indexc052.html	(from http://schemas.opengis.net/sensorML/)
16:16:57	3231/3231	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:46:57%20GMT	http://schemas.opengis.net/sensorML/?C=M;O=A	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/indexf8a0.html	(from http://schemas.opengis.net/sensorML/)
16:16:57	3231/3231	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:46:58%20GMT	http://schemas.opengis.net/sensorML/?C=S;O=A	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/indexbfec.html	(from http://schemas.opengis.net/sensorML/)
16:16:57	3231/3231	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:46:58%20GMT	http://schemas.opengis.net/sensorML/?C=D;O=A	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/index30b5.html	(from http://schemas.opengis.net/sensorML/)
16:16:58	225/225	---M--	200	added ('OK')	image/gif	etag:%22e1-3e9564c23b600%22	http://schemas.opengis.net/icons/folder.gif	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/icons/folder.gif	(from http://schemas.opengis.net/sensorML/)
16:16:58	229/229	---M--	200	added ('OK')	image/gif	etag:%22e5-3e9564c23b600%22	http://schemas.opengis.net/icons/text.gif	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/icons/text.gif	(from http://schemas.opengis.net/sensorML/)
16:16:58	3033/3033	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:46:59%20GMT	http://schemas.opengis.net/sensorML/1.0.0/	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.0/index.html	(from http://schemas.opengis.net/sensorML/)
16:16:59	3033/3033	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:46:59%20GMT	http://schemas.opengis.net/sensorML/1.0.1/	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.1/index.html	(from http://schemas.opengis.net/sensorML/)
16:16:59	4615/4615	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:46:59%20GMT	http://schemas.opengis.net/sensorML/2.0/	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/index.html	(from http://schemas.opengis.net/sensorML/)
16:16:59	2751/2751	---M-Z	200	added ('OK')	text/plain	etag:%22abf-4f29fc59d8800-gzip%22	http://schemas.opengis.net/sensorML/ReadMe.txt	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/ReadMe.txt	(from http://schemas.opengis.net/sensorML/)
16:17:00	1038/1038	---M--	200	added ('OK')	image/gif	etag:%2240e-3e9564c23b600%22	http://schemas.opengis.net/icons/compressed.gif	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/icons/compressed.gif	(from http://schemas.opengis.net/sensorML/)
16:17:02	3231/3231	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:02%20GMT	http://schemas.opengis.net/sensorML/?C=N;O=A	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/indexb70a.html	(from http://schemas.opengis.net/sensorML/?C=N;O=D)
